Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_188_427,VSS,Metal1,212.4060,726.2200,0.000001
FILLER_188_420,VSS,Metal1,209.0460,726.2200,0.000001
FILLER_188_413,VSS,Metal1,205.6860,726.2200,0.000001
FILLER_188_406,VSS,Metal1,202.3260,726.2200,0.000001
FILLER_188_399,VSS,Metal1,198.9660,726.2200,0.000001
FILLER_188_392,VSS,Metal1,195.6060,726.2200,0.000001
FILLER_188_385,VSS,Metal1,192.2460,726.2200,0.000001
FILLER_188_378,VSS,Metal1,188.8860,726.2200,0.000001
FILLER_188_371,VSS,Metal1,185.5260,726.2200,0.000001
FILLER_188_364,VSS,Metal1,182.1660,726.2200,0.000001
FILLER_188_357,VSS,Metal1,178.8060,726.2200,0.000001
FILLER_188_350,VSS,Metal1,175.4460,726.2200,0.000001
FILLER_188_343,VSS,Metal1,172.0860,726.2200,0.000001
FILLER_188_336,VSS,Metal1,168.7260,726.2200,0.000001
FILLER_188_329,VSS,Metal1,165.3660,726.2200,0.000001
FILLER_188_322,VSS,Metal1,162.0060,726.2200,0.000001
FILLER_188_315,VSS,Metal1,158.6460,726.2200,0.000001
FILLER_188_308,VSS,Metal1,155.2860,726.2200,0.000001
FILLER_188_301,VSS,Metal1,151.9260,726.2200,0.000001
FILLER_188_294,VSS,Metal1,148.5660,726.2200,0.000001
FILLER_188_287,VSS,Metal1,145.2060,726.2200,0.000001
FILLER_188_280,VSS,Metal1,141.8460,726.2200,0.000001
FILLER_188_273,VSS,Metal1,138.4860,726.2200,0.000001
FILLER_188_266,VSS,Metal1,135.1260,726.2200,0.000001
FILLER_188_259,VSS,Metal1,131.7660,726.2200,0.000001
FILLER_188_252,VSS,Metal1,128.4060,726.2200,0.000001
FILLER_188_245,VSS,Metal1,125.0460,726.2200,0.000001
FILLER_188_238,VSS,Metal1,121.6860,726.2200,0.000001
FILLER_188_231,VSS,Metal1,118.3260,726.2200,0.000001
FILLER_188_224,VSS,Metal1,114.9660,726.2200,0.000001
FILLER_188_217,VSS,Metal1,111.6060,726.2200,0.000001
FILLER_188_210,VSS,Metal1,108.2460,726.2200,0.000001
FILLER_188_203,VSS,Metal1,104.8860,726.2200,0.000001
FILLER_188_196,VSS,Metal1,101.5260,726.2200,0.000001
FILLER_188_189,VSS,Metal1,98.1660,726.2200,0.000001
FILLER_188_182,VSS,Metal1,94.8060,726.2200,0.000001
FILLER_188_175,VSS,Metal1,91.4460,726.2200,0.000001
FILLER_188_168,VSS,Metal1,88.0860,726.2200,0.000001
FILLER_188_161,VSS,Metal1,84.7260,726.2200,0.000001
FILLER_188_154,VSS,Metal1,81.3660,726.2200,0.000001
FILLER_188_147,VSS,Metal1,78.0060,726.2200,0.000001
FILLER_188_140,VSS,Metal1,74.6460,726.2200,0.000001
FILLER_188_133,VSS,Metal1,71.2860,726.2200,0.000001
FILLER_188_126,VSS,Metal1,67.9260,726.2200,0.000001
FILLER_188_119,VSS,Metal1,64.5660,726.2200,0.000001
FILLER_188_112,VSS,Metal1,61.2060,726.2200,0.000001
FILLER_188_105,VSS,Metal1,57.8460,726.2200,0.000001
FILLER_188_98,VSS,Metal1,54.4860,726.2200,0.000001
FILLER_188_91,VSS,Metal1,51.1260,726.2200,0.000001
FILLER_188_84,VSS,Metal1,47.7660,726.2200,0.000001
FILLER_188_77,VSS,Metal1,44.4060,726.2200,0.000001
FILLER_188_70,VSS,Metal1,41.0460,726.2200,0.000001
FILLER_188_63,VSS,Metal1,37.6860,726.2200,0.000001
FILLER_188_56,VSS,Metal1,34.3260,726.2200,0.000001
FILLER_188_49,VSS,Metal1,30.9660,726.2200,0.000001
FILLER_188_42,VSS,Metal1,27.6060,726.2200,0.000001
FILLER_188_35,VSS,Metal1,24.2460,726.2200,0.000001
FILLER_188_28,VSS,Metal1,20.8860,726.2200,0.000001
FILLER_188_21,VSS,Metal1,17.5260,726.2200,0.000001
FILLER_188_14,VSS,Metal1,14.1660,726.2200,0.000001
FILLER_188_7,VSS,Metal1,10.8060,726.2200,0.000001
FILLER_188_0,VSS,Metal1,7.4460,726.2200,0.000001
FILLER_187_1484,VSS,Metal1,719.0280,725.3830,0.000002
FILLER_187_1477,VSS,Metal1,716.4060,725.2990,0.000002
FILLER_187_1470,VSS,Metal1,713.0460,725.2990,0.000002
FILLER_187_1463,VSS,Metal1,709.6860,725.2990,0.000002
FILLER_187_1456,VSS,Metal1,706.3260,725.2990,0.000002
FILLER_187_1449,VSS,Metal1,702.9660,725.2990,0.000002
FILLER_187_1442,VSS,Metal1,699.6060,725.2990,0.000002
FILLER_187_1435,VSS,Metal1,696.2460,725.2990,0.000002
FILLER_187_1428,VSS,Metal1,692.8860,725.2990,0.000002
FILLER_187_1421,VSS,Metal1,689.5260,725.2990,0.000002
FILLER_187_1414,VSS,Metal1,686.1660,725.2990,0.000002
FILLER_187_1407,VSS,Metal1,682.8060,725.2990,0.000002
FILLER_187_1400,VSS,Metal1,679.4460,725.2990,0.000002
FILLER_187_1393,VSS,Metal1,676.0860,725.2990,0.000002
FILLER_187_1386,VSS,Metal1,672.7260,725.2990,0.000002
FILLER_187_1379,VSS,Metal1,669.3660,725.2990,0.000002
FILLER_187_1372,VSS,Metal1,666.0060,725.2990,0.000002
FILLER_187_1365,VSS,Metal1,662.6460,725.2990,0.000002
FILLER_187_1358,VSS,Metal1,659.2860,725.2990,0.000002
FILLER_187_1351,VSS,Metal1,655.9260,725.2990,0.000002
FILLER_187_1344,VSS,Metal1,652.5660,725.2990,0.000002
