net,length_um
_1016_,10.39µm
_1026_,10.385µm
_0125_,10.38µm
_0931_,10.38µm
_1070_,10.38µm
_1233_,10.38µm
_2295_,10.38µm
u_input_buffer.mem\[18\]\[6\],10.38µm
u_mac_2.temp_res\[1\],10.38µm
_0641_,10.375µm
_2507_,10.375µm
_0412_,10.365µm
_1135_,10.35µm
_0921_,10.345µm
_1178_,10.34µm
_1520_,10.34µm
_1926_,10.34µm
net1007,10.34µm
_0302_,10.33µm
_0776_,10.33µm
_1437_,10.33µm
_2282_,10.33µm
_2477_,10.33µm
net307,10.32µm
net331,10.32µm
u_input_buffer.mem\[7\]\[7\],10.32µm
_1514_,10.285µm
_1309_,10.28µm
_0337_,10.27µm
u_input_buffer.mem\[12\]\[5\],10.27µm
u_input_buffer.mem\[16\]\[2\],10.26µm
_1355_,10.23µm
_2233_,10.23µm
u_input_buffer.mem\[27\]\[6\],10.22µm
_1915_,10.215µm
_1396_,10.21µm
u_input_buffer.mem\[22\]\[6\],10.21µm
u_input_buffer.mem\[29\]\[7\],10.2µm
_0078_,10.15µm
_0090_,10.15µm
_0108_,10.15µm
_0127_,10.15µm
_1182_,10.14µm
read_data_out[7],10.14µm
_1757_,10.09µm
net561,10.09µm
net941,10.09µm
net1092,10.09µm
net1204,10.09µm
net1241,10.09µm
_0164_,10.08µm
_0423_,10.08µm
_0622_,10.08µm
_1841_,10.08µm
net367,10.08µm
u_input_buffer.mem\[18\]\[4\],10.08µm
net1036,10.08µm
_0694_,10.065µm
_2398_,10.04µm
_0015_,10.03µm
_0123_,10.03µm
_0171_,10.03µm
_1028_,10.03µm
_1076_,10.03µm
_1549_,10.03µm
_1568_,10.03µm
_1696_,10.03µm
_1811_,10.03µm
net989,10.03µm
_0136_,10.02µm
_1165_,10.02µm
_1793_,10.02µm
_1973_,10.02µm
_1411_,10.015µm
net187,10.005µm
u_input_buffer.mem\[31\]\[4\],9.995µm
_0799_,9.98µm
net1187,9.98µm
_0394_,9.97µm
_1618_,9.97µm
_1735_,9.97µm
_1767_,9.97µm
_2196_,9.97µm
_2203_,9.97µm
_2222_,9.97µm
u_input_buffer.mem\[22\]\[3\],9.97µm
net891,9.97µm
u_input_buffer.mem\[12\]\[6\],9.96µm
_1335_,9.955µm
u_input_buffer.mem\[15\]\[5\],9.955µm
_0227_,9.945µm
_2485_,9.945µm
_1935_,9.94µm
_1867_,9.92µm
u_input_buffer.mem\[25\]\[1\],9.92µm
_2309_,9.91µm
_1525_,9.9µm
_2261_,9.9µm
net971,9.9µm
u_input_buffer.mem\[26\]\[6\],9.875µm
_2268_,9.865µm
u_input_buffer.mem\[26\]\[2\],9.865µm
_1906_,9.86µm
_1954_,9.86µm
_2411_,9.86µm
net894,9.86µm
net1138,9.86µm
_0310_,9.85µm
_1093_,9.85µm
_1397_,9.85µm
_2364_,9.85µm
u_ctrl.k_cnt\[0\],9.85µm
_1235_,9.84µm
net115,9.84µm
net246,9.84µm
_1131_,9.835µm
u_input_buffer.mem\[30\]\[0\],9.815µm
_2385_,9.8µm
_0083_,9.79µm
_0196_,9.79µm
_0267_,9.79µm
_0272_,9.79µm
_2205_,9.775µm
net1235,9.74µm
_0328_,9.73µm
u_input_buffer.mem\[12\]\[0\],9.73µm
u_input_buffer.mem\[31\]\[3\],9.73µm
u_input_buffer.mem\[7\]\[1\],9.73µm
_0286_,9.69µm
_1407_,9.68µm
_0053_,9.67µm
_0741_,9.66µm
u_input_buffer.mem\[29\]\[6\],9.655µm
_0333_,9.61µm
_0491_,9.61µm
_1928_,9.61µm
net917,9.61µm
net1258,9.61µm
_0579_,9.6µm
_1496_,9.6µm
net348,9.6µm
u_mac_1.temp_res\[0\],9.6µm
_0018_,9.55µm
_0046_,9.55µm
_0186_,9.55µm
_0249_,9.55µm
_0378_,9.55µm
_0460_,9.55µm
_0572_,9.55µm
_0688_,9.55µm
_0758_,9.55µm
_1039_,9.55µm
_1446_,9.55µm
_1486_,9.55µm
_1737_,9.55µm
net557,9.55µm
net1130,9.55µm
net1165,9.55µm
_0920_,9.54µm
_1040_,9.54µm
net1256,9.54µm
_2433_,9.535µm
_1021_,9.53µm
_2104_,9.5µm
_0005_,9.49µm
_0045_,9.49µm
_0086_,9.49µm
_0223_,9.49µm
_0516_,9.49µm
_0613_,9.49µm
_1094_,9.49µm
_1310_,9.49µm
_1484_,9.49µm
_1715_,9.49µm
_2454_,9.49µm
net885,9.49µm
net923,9.49µm
_0860_,9.48µm
_1298_,9.48µm
_1339_,9.48µm
_2103_,9.48µm
_2145_,9.48µm
net1061,9.48µm
_0561_,9.475µm
u_input_buffer.mem\[21\]\[0\],9.44µm
net1176,9.44µm
_0120_,9.43µm
_0362_,9.43µm
_0965_,9.43µm
u_input_buffer.mem\[28\]\[4\],9.425µm
_1327_,9.42µm
u_input_buffer.mem\[4\]\[2\],9.415µm
u_input_buffer.mem\[0\]\[6\],9.395µm
_1875_,9.385µm
u_input_buffer.mem\[16\]\[4\],9.385µm
top_wr_en,9.38µm
net1140,9.38µm
_0294_,9.37µm
_0833_,9.37µm
_1756_,9.37µm
_1873_,9.37µm
u_input_buffer.mem\[25\]\[0\],9.37µm
u_input_buffer.mem\[27\]\[3\],9.37µm
_0188_,9.36µm
_2107_,9.36µm
_2114_,9.36µm
_2248_,9.355µm
_1187_,9.32µm
_0058_,9.31µm
_1344_,9.31µm
u_input_buffer.mem\[16\]\[3\],9.31µm
u_input_buffer.mem\[3\]\[1\],9.31µm
net921,9.31µm
_2395_,9.305µm
_1882_,9.275µm
_1394_,9.27µm
_2177_,9.27µm
_1072_,9.26µm
_2156_,9.25µm
net217,9.24µm
net1237,9.24µm
_0057_,9.19µm
net924,9.19µm
_0354_,9.18µm
_2246_,9.18µm
_1985_,9.165µm
_1452_,9.155µm
_1554_,9.13µm
_1968_,9.13µm
_2419_,9.13µm
net558,9.13µm
net887,9.13µm
net928,9.13µm
net962,9.13µm
net963,9.13µm
_1078_,9.12µm
_1151_,9.12µm
_1188_,9.12µm
_1594_,9.12µm
_1837_,9.12µm
net352,9.12µm
u_input_buffer.mem\[24\]\[2\],9.12µm
read_data_out[2],9.12µm
net577,9.12µm
net1010,9.12µm
u_input_buffer.mem\[12\]\[2\],9.115µm
_0184_,9.07µm
_0258_,9.07µm
_0342_,9.07µm
_0603_,9.07µm
_0731_,9.07µm
_0740_,9.07µm
_0748_,9.07µm
_0820_,9.07µm
_0896_,9.07µm
_1004_,9.07µm
_1237_,9.07µm
_1303_,9.07µm
u_input_buffer.mem\[6\]\[7\],9.07µm
net580,9.07µm
net992,9.07µm
net1182,9.07µm
net1227,9.07µm
net1233,9.07µm
_1563_,9.06µm
_1570_,9.06µm
_1604_,9.06µm
_2101_,9.06µm
net1072,9.06µm
_1986_,9.055µm
_1786_,9.03µm
_1824_,9.025µm
_0906_,9.02µm
net1132,9.02µm
_0039_,9.01µm
_0248_,9.01µm
_0711_,9.01µm
_1056_,9.01µm
_1540_,9.01µm
_1780_,9.01µm
net363,9.01µm
u_input_buffer.mem\[3\]\[0\],9.01µm
u_mac_1.temp_res\[3\],9.01µm
_2220_,9µm
net386,9µm
_1487_,8.995µm
_0523_,8.95µm
_1058_,8.95µm
_0350_,8.94µm
_1603_,8.94µm
_1646_,8.94µm
_2110_,8.94µm
_2272_,8.94µm
u_input_buffer.mem\[28\]\[1\],8.93µm
_2218_,8.915µm
_1556_,8.9µm
_2064_,8.9µm
_0041_,8.89µm
_0110_,8.89µm
_1192_,8.89µm
_1600_,8.89µm
_1779_,8.89µm
_2099_,8.89µm
net243,8.89µm
net254,8.89µm
_0477_,8.88µm
_0809_,8.88µm
_1558_,8.88µm
_1891_,8.88µm
net136,8.88µm
net179,8.88µm
net190,8.88µm
net388,8.88µm
net396,8.88µm
net477,8.88µm
u_input_buffer.mem\[15\]\[1\],8.855µm
_1092_,8.84µm
_0093_,8.83µm
_0157_,8.83µm
_0182_,8.83µm
_0710_,8.83µm
_0836_,8.83µm
_1953_,8.83µm
_0993_,8.79µm
_2247_,8.78µm
u_input_buffer.mem\[2\]\[3\],8.78µm
u_input_buffer.mem\[13\]\[7\],8.77µm
_0152_,8.76µm
_1009_,8.76µm
net1253,8.76µm
_1966_,8.72µm
_0198_,8.71µm
_0031_,8.7µm
_0663_,8.7µm
_0720_,8.7µm
_1974_,8.7µm
_2342_,8.7µm
u_input_buffer.mem\[29\]\[2\],8.7µm
net900,8.7µm
net1044,8.7µm
_0682_,8.69µm
_1081_,8.66µm
_0026_,8.65µm
_0168_,8.65µm
_0347_,8.65µm
_0464_,8.65µm
_1324_,8.65µm
_2289_,8.65µm
_2434_,8.65µm
_2510_,8.65µm
_2516_,8.65µm
u_input_buffer.mem\[30\]\[2\],8.65µm
read_data_out[0],8.65µm
net918,8.65µm
_0512_,8.64µm
_1611_,8.64µm
_1987_,8.64µm
_2144_,8.64µm
_2158_,8.64µm
_2267_,8.64µm
_2357_,8.64µm
_2435_,8.64µm
net125,8.64µm
u_input_buffer.mem\[16\]\[7\],8.64µm
net1078,8.64µm
u_input_buffer.mem\[7\]\[3\],8.635µm
_0060_,8.59µm
_0098_,8.59µm
_0146_,8.59µm
_0165_,8.59µm
_0225_,8.59µm
_0276_,8.59µm
_0390_,8.59µm
_0537_,8.59µm
_0575_,8.59µm
_0703_,8.59µm
_0732_,8.59µm
_0994_,8.59µm
_1378_,8.59µm
_1686_,8.59µm
_2305_,8.59µm
u_input_buffer.mem\[7\]\[5\],8.59µm
net936,8.59µm
net986,8.59µm
net1090,8.59µm
_2051_,8.58µm
_1503_,8.575µm
_0968_,8.54µm
_1541_,8.54µm
_2496_,8.54µm
_0003_,8.53µm
_0283_,8.53µm
_0313_,8.53µm
_0597_,8.53µm
_1457_,8.53µm
net333,8.53µm
net342,8.53µm
net969,8.53µm
net1168,8.53µm
_1445_,8.52µm
_1455_,8.52µm
_1588_,8.52µm
_1719_,8.52µm
_2106_,8.52µm
_2514_,8.52µm
_2532_,8.52µm
u_input_buffer.mem\[11\]\[3\],8.52µm
_1630_,8.515µm
_2149_,8.515µm
_1480_,8.5µm
_2269_,8.48µm
_2207_,8.475µm
_0867_,8.46µm
_1341_,8.46µm
_1773_,8.455µm
net1173,8.435µm
u_input_buffer.mem\[31\]\[1\],8.425µm
_2249_,8.42µm
_0405_,8.41µm
_1285_,8.41µm
_2339_,8.41µm
_0219_,8.4µm
_1642_,8.4µm
net298,8.4µm
u_input_buffer.mem\[3\]\[6\],8.4µm
_0059_,8.35µm
_0063_,8.35µm
_0616_,8.35µm
_1499_,8.35µm
_0202_,8.34µm
_0288_,8.34µm
_0634_,8.34µm
u_input_buffer.mem\[21\]\[5\],8.34µm
_1845_,8.31µm
_1169_,8.3µm
_0846_,8.28µm
u_input_buffer.mem\[6\]\[4\],8.28µm
net1049,8.28µm
_2263_,8.265µm
u_input_buffer.mem\[29\]\[1\],8.26µm
_0069_,8.23µm
_0077_,8.23µm
_0155_,8.23µm
_0212_,8.23µm
u_input_buffer.mem\[11\]\[1\],8.23µm
_0317_,8.22µm
_1071_,8.22µm
_1107_,8.22µm
_1815_,8.22µm
u_input_buffer.mem\[29\]\[3\],8.22µm
net1259,8.22µm
_0627_,8.21µm
_0856_,8.195µm
_2422_,8.195µm
_0650_,8.17µm
u_input_buffer.mem\[30\]\[4\],8.17µm
_0708_,8.16µm
_0905_,8.16µm
_1364_,8.16µm
_2056_,8.16µm
_1319_,8.15µm
_0088_,8.11µm
_0199_,8.11µm
_0236_,8.11µm
_0269_,8.11µm
_0323_,8.11µm
_0469_,8.11µm
_0639_,8.11µm
_0676_,8.11µm
_2227_,8.11µm
_2297_,8.11µm
net551,8.11µm
net995,8.11µm
net1065,8.11µm
net1134,8.11µm
net1196,8.11µm
_0080_,8.1µm
_0608_,8.1µm
_0717_,8.1µm
_1046_,8.1µm
_1565_,8.1µm
_2017_,8.1µm
_2486_,8.1µm
_0773_,8.065µm
u_mac_4.temp_res\[17\],8.06µm
_0955_,8.05µm
net436,8.05µm
u_input_buffer.mem\[13\]\[0\],8.05µm
u_input_buffer.mem\[24\]\[3\],8.05µm
u_input_buffer.mem\[8\]\[6\],8.05µm
net1018,8.05µm
_0299_,8.04µm
_0808_,8.04µm
_2168_,8.04µm
read_data_out[5],8.04µm
_1498_,8.02µm
_0230_,7.99µm
_0754_,7.99µm
_1215_,7.99µm
_1888_,7.99µm
_0620_,7.98µm
_1027_,7.98µm
_1271_,7.98µm
_2377_,7.98µm
_1774_,7.94µm
_2544_,7.94µm
u_input_buffer.mem\[24\]\[7\],7.94µm
net998,7.94µm
net1012,7.94µm
net1063,7.94µm
_0037_,7.93µm
_1624_,7.93µm
_2431_,7.93µm
net284,7.93µm
net398,7.93µm
u_input_buffer.mem\[1\]\[4\],7.93µm
_1491_,7.925µm
_1330_,7.92µm
_1745_,7.92µm
_2013_,7.92µm
u_input_buffer.mem\[6\]\[2\],7.92µm
net1121,7.92µm
_1711_,7.915µm
_0251_,7.905µm
_1978_,7.895µm
_0587_,7.88µm
_1461_,7.88µm
_0076_,7.87µm
_1701_,7.87µm
_0010_,7.865µm
_2429_,7.865µm
_0745_,7.86µm
_1693_,7.86µm
u_input_buffer.mem\[9\]\[0\],7.86µm
_1231_,7.855µm
_0626_,7.845µm
_2362_,7.835µm
_1951_,7.825µm
_0893_,7.82µm
_1818_,7.82µm
_0427_,7.81µm
_1398_,7.8µm
_2531_,7.8µm
_2164_,7.76µm
_0073_,7.75µm
_0153_,7.75µm
_0373_,7.74µm
_0489_,7.74µm
_0997_,7.74µm
_1155_,7.74µm
_1173_,7.74µm
_1429_,7.74µm
_1578_,7.74µm
_2153_,7.74µm
_2201_,7.74µm
_2425_,7.74µm
_2505_,7.74µm
u_ctrl.k_cnt\[1\],7.74µm
net1029,7.74µm
net1251,7.74µm
u_input_buffer.mem\[15\]\[7\],7.7µm
_0091_,7.69µm
_0237_,7.69µm
_0287_,7.69µm
_0528_,7.69µm
_1901_,7.69µm
_2061_,7.69µm
_2409_,7.69µm
_2548_,7.69µm
net862,7.69µm
net1069,7.69µm
net1178,7.69µm
_0008_,7.68µm
_0345_,7.68µm
_0372_,7.68µm
_0468_,7.68µm
_0610_,7.68µm
_0702_,7.68µm
_0790_,7.68µm
_1034_,7.68µm
_1085_,7.68µm
_1088_,7.68µm
_1403_,7.68µm
_1453_,7.68µm
_1574_,7.68µm
_1995_,7.68µm
_2105_,7.68µm
_2184_,7.68µm
_2402_,7.68µm
net174,7.68µm
net188,7.68µm
net319,7.68µm
net978,7.68µm
net1207,7.68µm
_0020_,7.63µm
_0070_,7.63µm
_0175_,7.63µm
_0240_,7.63µm
_0259_,7.63µm
_0281_,7.63µm
_0308_,7.63µm
_0331_,7.63µm
_0666_,7.63µm
_0700_,7.63µm
_0873_,7.63µm
_1938_,7.63µm
net546,7.63µm
net552,7.63µm
net890,7.63µm
net932,7.63µm
net1009,7.63µm
net1024,7.63µm
_1583_,7.62µm
_2029_,7.62µm
_0291_,7.605µm
_2512_,7.605µm
_2259_,7.58µm
u_input_buffer.mem\[6\]\[5\],7.58µm
net330,7.57µm
u_input_buffer.mem\[5\]\[6\],7.57µm
net965,7.57µm
_0289_,7.56µm
_0554_,7.56µm
net353,7.56µm
net371,7.56µm
net445,7.56µm
_0536_,7.555µm
_1195_,7.555µm
u_input_buffer.mem\[18\]\[7\],7.555µm
_2096_,7.52µm
u_input_buffer.mem\[13\]\[5\],7.52µm
u_input_buffer.mem\[2\]\[5\],7.52µm
_1512_,7.51µm
_1714_,7.505µm
_0862_,7.5µm
_1750_,7.5µm
_1352_,7.495µm
_1685_,7.495µm
_1925_,7.465µm
_1003_,7.46µm
_1684_,7.46µm
_2428_,7.46µm
net1116,7.46µm
net1244,7.46µm
_0002_,7.45µm
_0854_,7.45µm
_1234_,7.45µm
_1460_,7.45µm
_1517_,7.45µm
_2466_,7.45µm
net135,7.45µm
net154,7.45µm
net476,7.45µm
net113,7.45µm
_2094_,7.445µm
_0126_,7.44µm
_1612_,7.44µm
_1816_,7.44µm
_2132_,7.4µm
_0087_,7.39µm
_0549_,7.39µm
_0874_,7.39µm
_0084_,7.38µm
_1820_,7.355µm
_1741_,7.34µm
_2060_,7.34µm
_0430_,7.33µm
_0960_,7.33µm
_1406_,7.33µm
_1704_,7.33µm
_0859_,7.285µm
_0629_,7.28µm
_0033_,7.27µm
_0189_,7.27µm
_0218_,7.27µm
_0263_,7.27µm
_0270_,7.27µm
_0162_,7.26µm
_0570_,7.26µm
_0595_,7.26µm
_0746_,7.26µm
_1198_,7.26µm
_1239_,7.26µm
_1250_,7.26µm
_2236_,7.26µm
_2271_,7.26µm
_2492_,7.26µm
net1157,7.26µm
net475,7.245µm
_0116_,7.21µm
_0119_,7.21µm
_0264_,7.21µm
_0327_,7.21µm
_1784_,7.21µm
net884,7.21µm
net990,7.21µm
_0426_,7.2µm
_0476_,7.2µm
_0598_,7.2µm
_1053_,7.2µm
_1299_,7.2µm
_1887_,7.2µm
_1892_,7.2µm
_1941_,7.2µm
_2438_,7.2µm
_2449_,7.2µm
_2546_,7.2µm
net164,7.2µm
net181,7.2µm
net248,7.2µm
net323,7.2µm
net435,7.2µm
net1038,7.2µm
u_input_buffer.mem\[15\]\[3\],7.195µm
_2326_,7.19µm
_0130_,7.15µm
_2338_,7.15µm
net545,7.15µm
net547,7.15µm
net906,7.15µm
net1047,7.15µm
_1354_,7.14µm
_1388_,7.14µm
_1506_,7.14µm
_1956_,7.14µm
_1328_,7.1µm
_1471_,7.1µm
_0144_,7.09µm
_0944_,7.09µm
_1345_,7.09µm
net297,7.09µm
net318,7.09µm
net864,7.09µm
net1103,7.09µm
_0191_,7.08µm
_0300_,7.08µm
_1414_,7.08µm
_1581_,7.08µm
_1955_,7.08µm
_2471_,7.08µm
_2554_,7.08µm
net131,7.08µm
net142,7.08µm
net427,7.08µm
u_input_buffer.mem\[0\]\[7\],7.08µm
u_input_buffer.mem\[18\]\[3\],7.08µm
net944,7.08µm
_0505_,7.075µm
_0544_,7.075µm
_0556_,7.075µm
_1615_,7.075µm
_2355_,7.075µm
_1641_,7.05µm
_0971_,7.04µm
net940,7.03µm
_2128_,7.02µm
_2131_,7.02µm
_1785_,6.995µm
u_input_buffer.mem\[3\]\[7\],6.995µm
_1144_,6.98µm
_1442_,6.98µm
_1981_,6.98µm
u_input_buffer.mem\[25\]\[5\],6.98µm
net566,6.98µm
net889,6.98µm
net896,6.98µm
net1050,6.98µm
_0140_,6.97µm
_0385_,6.97µm
_0475_,6.97µm
_0584_,6.97µm
_1213_,6.97µm
_2400_,6.97µm
net231,6.97µm
net314,6.97µm
net346,6.97µm
net361,6.97µm
_0201_,6.96µm
u_input_buffer.mem\[12\]\[4\],6.96µm
_1063_,6.92µm
_1769_,6.92µm
_2023_,6.92µm
_0252_,6.91µm
u_input_buffer.mem\[11\]\[7\],6.9µm
u_input_buffer.mem\[8\]\[4\],6.9µm
net1064,6.9µm
_0657_,6.885µm
net553,6.84µm
_0061_,6.79µm
_0092_,6.79µm
_0226_,6.79µm
_0228_,6.79µm
_0254_,6.79µm
_0256_,6.79µm
net1046,6.79µm
net1111,6.79µm
_0253_,6.78µm
_0309_,6.78µm
_1150_,6.78µm
_1159_,6.78µm
_1161_,6.78µm
_1241_,6.78µm
_1266_,6.78µm
_1359_,6.78µm
_1417_,6.78µm
_1827_,6.78µm
net1175,6.78µm
_2348_,6.75µm
_0052_,6.73µm
_0262_,6.73µm
_0290_,6.73µm
_0303_,6.73µm
_0484_,6.73µm
_0668_,6.73µm
_0699_,6.73µm
_2140_,6.73µm
net537,6.73µm
net564,6.73µm
net1025,6.73µm
net1079,6.73µm
_1097_,6.72µm
_1743_,6.72µm
_1807_,6.72µm
_2079_,6.72µm
_2299_,6.72µm
net308,6.72µm
net1284,6.72µm
_0016_,6.67µm
_0279_,6.67µm
_0564_,6.67µm
_0586_,6.67µm
_0644_,6.67µm
_0665_,6.67µm
_0755_,6.67µm
_1052_,6.67µm
_2091_,6.67µm
_2440_,6.67µm
net899,6.67µm
net987,6.67µm
_1828_,6.645µm
_1252_,6.625µm
_1413_,6.62µm
_1466_,6.62µm
_0364_,6.61µm
_0555_,6.61µm
net250,6.61µm
net925,6.61µm
net970,6.61µm
_0138_,6.6µm
_1739_,6.6µm
_1803_,6.6µm
net201,6.6µm
net252,6.6µm
net329,6.6µm
net407,6.6µm
net415,6.6µm
net420,6.6µm
net871,6.6µm
_0420_,6.595µm
_0609_,6.595µm
_0736_,6.595µm
net1088,6.595µm
_1587_,6.58µm
_1706_,6.58µm
u_input_buffer.mem\[7\]\[4\],6.58µm
_1886_,6.545µm
_2139_,6.54µm
_1393_,6.515µm
_0348_,6.5µm
net531,6.5µm
net907,6.5µm
net934,6.5µm
net938,6.5µm
net947,6.5µm
net1057,6.5µm
net1119,6.5µm
_0028_,6.49µm
_0203_,6.49µm
_0396_,6.49µm
_0436_,6.49µm
_0487_,6.49µm
_1929_,6.49µm
_2367_,6.485µm
_1982_,6.48µm
u_input_buffer.mem\[16\]\[1\],6.45µm
_2265_,6.42µm
u_input_buffer.mem\[16\]\[6\],6.42µm
net1278,6.39µm
_2382_,6.37µm
_0235_,6.36µm
_0006_,6.31µm
_0154_,6.31µm
_0204_,6.31µm
_0222_,6.31µm
read_data_out[3],6.31µm
_0019_,6.3µm
_0023_,6.3µm
_0274_,6.3µm
_0341_,6.3µm
_0365_,6.3µm
_0447_,6.3µm
_0640_,6.3µm
_0647_,6.3µm
_0879_,6.3µm
_0967_,6.3µm
_1176_,6.3µm
_1311_,6.3µm
_1980_,6.3µm
_2421_,6.3µm
net1094,6.3µm
_2399_,6.285µm
_0038_,6.25µm
_0435_,6.25µm
_0441_,6.25µm
_0526_,6.25µm
_0600_,6.25µm
_0607_,6.25µm
_0671_,6.25µm
_0709_,6.25µm
_0727_,6.25µm
net571,6.25µm
net931,6.25µm
_1196_,6.24µm
_1761_,6.24µm
_2446_,6.24µm
net116,6.24µm
net206,6.24µm
net218,6.24µm
net423,6.24µm
u_input_buffer.mem\[10\]\[1\],6.24µm
_0065_,6.19µm
_0081_,6.19µm
_0205_,6.19µm
_0209_,6.19µm
_0224_,6.19µm
_0229_,6.19µm
_0239_,6.19µm
_0462_,6.19µm
_2020_,6.19µm
_2392_,6.19µm
_2542_,6.19µm
net882,6.19µm
net983,6.19µm
net1020,6.19µm
net1136,6.19µm
net1219,6.19µm
_1434_,6.18µm
_0247_,6.165µm
_1960_,6.13µm
_2303_,6.13µm
net121,6.13µm
net387,6.13µm
net394,6.13µm
_0800_,6.12µm
_1101_,6.12µm
_1245_,6.12µm
_1421_,6.12µm
_1880_,6.12µm
_2069_,6.12µm
_2543_,6.12µm
net203,6.12µm
net204,6.12µm
net453,6.12µm
net465,6.12µm
_0007_,6.115µm
_0017_,6.115µm
_0351_,6.115µm
_0352_,6.115µm
_0883_,6.115µm
_0918_,6.115µm
_1592_,6.115µm
_2067_,6.115µm
net1073,6.115µm
_1924_,6.08µm
_2005_,6.07µm
_1219_,6.06µm
net362,6.055µm
_1194_,6.02µm
_1834_,6.02µm
_1965_,6.02µm
net993,6.02µm
net1058,6.02µm
net1071,6.02µm
net1154,6.02µm
_0107_,6.01µm
_0355_,6.01µm
_0630_,6.01µm
_1662_,6.01µm
_2143_,6.01µm
_0946_,6µm
_1410_,6µm
_2197_,6µm
_1467_,5.975µm
_1382_,5.96µm
_0054_,5.94µm
_0122_,5.94µm
_0124_,5.94µm
_0919_,5.91µm
net1264,5.9µm
_0241_,5.88µm
_0369_,5.88µm
_1109_,5.88µm
_2522_,5.88µm
_2541_,5.88µm
net535,5.88µm
net956,5.88µm
net1085,5.88µm
_0089_,5.83µm
_0133_,5.83µm
_0194_,5.83µm
_0211_,5.83µm
net869,5.83µm
net1099,5.83µm
_0704_,5.82µm
_0889_,5.82µm
_2283_,5.82µm
net1003,5.82µm
net1248,5.82µm
_0004_,5.77µm
_0079_,5.77µm
_0480_,5.77µm
_0513_,5.77µm
_0659_,5.77µm
_0899_,5.77µm
_1197_,5.77µm
_2375_,5.77µm
_2538_,5.77µm
net866,5.77µm
net893,5.77µm
net943,5.77µm
net1060,5.77µm
net1067,5.77µm
net1234,5.77µm
_1613_,5.76µm
_0068_,5.71µm
_0156_,5.71µm
_1104_,5.71µm
_1179_,5.71µm
_1209_,5.71µm
_2055_,5.71µm
_2109_,5.71µm
net533,5.71µm
net880,5.71µm
net1026,5.71µm
net1124,5.71µm
net1150,5.71µm
net1209,5.71µm
_0585_,5.7µm
_1857_,5.66µm
_1146_,5.655µm
net124,5.65µm
net315,5.65µm
net474,5.65µm
net883,5.65µm
net898,5.65µm
_0118_,5.64µm
_1147_,5.64µm
_1835_,5.64µm
_2337_,5.64µm
_2515_,5.64µm
net127,5.64µm
net140,5.64µm
net189,5.64µm
net293,5.64µm
net322,5.64µm
net364,5.64µm
net370,5.64µm
net450,5.64µm
_0214_,5.635µm
_0255_,5.635µm
_0789_,5.635µm
_1117_,5.635µm
net563,5.635µm
_1522_,5.62µm
_1278_,5.59µm
net950,5.59µm
_1440_,5.55µm
_0143_,5.54µm
_1992_,5.54µm
net952,5.54µm
net976,5.54µm
_0021_,5.53µm
_0064_,5.53µm
_0100_,5.53µm
_0282_,5.53µm
_0432_,5.53µm
_2292_,5.53µm
_2537_,5.53µm
_2560_,5.53µm
net380,5.53µm
_1065_,5.52µm
_0948_,5.48µm
_2080_,5.48µm
_1010_,5.47µm
_1125_,5.46µm
net1120,5.445µm
_1501_,5.42µm
_2308_,5.42µm
_0250_,5.4µm
_0992_,5.4µm
_1468_,5.4µm
_1998_,5.4µm
_2231_,5.4µm
_2404_,5.4µm
net550,5.4µm
net915,5.4µm
net1170,5.4µm
net1213,5.4µm
u_input_buffer.mem\[30\]\[5\],5.39µm
_0266_,5.385µm
_0105_,5.35µm
_0273_,5.35µm
_0277_,5.35µm
net569,5.35µm
_0890_,5.34µm
_1899_,5.34µm
_2356_,5.34µm
net1059,5.34µm
_0439_,5.29µm
_0611_,5.29µm
_0718_,5.29µm
_1683_,5.29µm
_1822_,5.29µm
net872,5.29µm
net905,5.29µm
net910,5.29µm
net1001,5.29µm
net1014,5.29µm
net1022,5.29µm
net1043,5.29µm
net1109,5.29µm
_2008_,5.285µm
_1721_,5.28µm
_2280_,5.28µm
net146,5.28µm
net324,5.28µm
net482,5.28µm
_2327_,5.275µm
_0035_,5.23µm
_0457_,5.23µm
_0619_,5.23µm
_0712_,5.23µm
_1163_,5.23µm
_1225_,5.23µm
net574,5.23µm
net579,5.23µm
net953,5.23µm
net1269,5.23µm
_0159_,5.22µm
_0360_,5.22µm
_0508_,5.22µm
_0662_,5.22µm
_1047_,5.22µm
_1602_,5.22µm
_1861_,5.22µm
_2190_,5.22µm
net572,5.22µm
_0900_,5.215µm
net1183,5.215µm
_0530_,5.18µm
_1425_,5.18µm
net310,5.17µm
_0106_,5.16µm
_0338_,5.16µm
_0402_,5.16µm
_0448_,5.16µm
_0648_,5.16µm
_1232_,5.16µm
_2315_,5.16µm
_2318_,5.16µm
_2329_,5.16µm
_2497_,5.16µm
_2524_,5.16µm
net119,5.16µm
net161,5.16µm
net170,5.16µm
net196,5.16µm
net210,5.16µm
net273,5.16µm
net336,5.16µm
net373,5.16µm
net399,5.16µm
net439,5.16µm
net442,5.16µm
net460,5.16µm
net468,5.16µm
net1272,5.16µm
_0001_,5.155µm
net528,5.155µm
_0114_,5.06µm
_0158_,5.06µm
_0242_,5.06µm
_0244_,5.06µm
_0297_,5.06µm
_0371_,5.06µm
_0425_,5.06µm
_1294_,5.06µm
_1582_,5.06µm
_2050_,5.06µm
net536,5.06µm
net897,5.06µm
net964,5.06µm
net977,5.06µm
net1034,5.06µm
