net,length_um
u_mac_1.temp_res\[15\],95.58µm
_1263_,95.575µm
read_shift\[6\],95.55µm
clknet_leaf_35_clk_regs,95.325µm
u_mac_1.temp_res\[4\],95.275µm
net835,95.005µm
net686,94.555µm
net768,94.305µm
_1895_,94.29µm
_2300_,94.135µm
net699,94.095µm
net698,93.865µm
_0830_,93.86µm
_1507_,93.66µm
_1621_,93.24µm
result_ram\[6\],92.39µm
net673,92.3µm
_2306_,92.275µm
net691,91.975µm
_1764_,91.875µm
_1889_,91.82µm
_1651_,91.81µm
_1678_,91.675µm
_2302_,91.285µm
result_ram\[3\],91.28µm
_1658_,90.96µm
u_mac_2.temp_res\[11\],90.855µm
_0407_,90.85µm
_1121_,90.78µm
_2286_,90.42µm
net720,90.07µm
clknet_leaf_48_clk_regs,89.89µm
net845,89.805µm
result_ram\[5\],89.8µm
net716,89.45µm
net626,89.44µm
result_ram\[0\],89.35µm
_1921_,89.295µm
net619,89.195µm
net628,89.13µm
_1636_,88.7µm
net607,88.485µm
_0855_,88.08µm
u_mac_1.temp_res\[6\],88.08µm
_0913_,88.07µm
_0459_,87.705µm
_1677_,87.2µm
u_mac_4.temp_res\[6\],87.13µm
_1589_,86.705µm
_1001_,86.455µm
_0455_,85.99µm
net803,85.77µm
u_mac_2.temp_res\[12\],85.69µm
net814,85.475µm
net2,85.39µm
_1984_,85.33µm
_1258_,85.08µm
_1249_,84.52µm
net630,84.345µm
result_ram\[1\],84.17µm
result_ram\[4\],84.075µm
_2298_,83.805µm
_1268_,83.69µm
net712,83.005µm
net681,82.8µm
_1524_,82.4µm
net678,82.355µm
net687,82.28µm
_1291_,82.225µm
_2024_,81.845µm
read_shift\[1\],81.76µm
net798,81.4µm
_2456_,81.39µm
result_ram\[2\],81.15µm
net778,80.455µm
net592,80.4µm
net808,80.335µm
net684,80.075µm
net836,79.94µm
_0949_,79.8µm
_2386_,79.33µm
_0401_,79.27µm
_0696_,79.04µm
_1521_,78.99µm
_0502_,78.915µm
net634,78.76µm
read_shift\[3\],78.72µm
net693,78.675µm
read_shift\[14\],78.28µm
_1132_,78.06µm
_1476_,77.9µm
_2304_,77.685µm
net1,77.46µm
_0814_,77.16µm
u_mac_2.temp_res\[13\],77.015µm
net728,76.445µm
_1649_,76.02µm
net682,75.93µm
u_input_buffer.mem\[19\]\[3\],75.14µm
u_mac_1.temp_res\[16\],74.72µm
_0389_,74.7µm
net615,74.645µm
_0651_,74.53µm
_2071_,74.065µm
read_shift\[2\],73.78µm
net841,73.64µm
u_mac_4.temp_res\[10\],73.585µm
_1432_,73.2µm
net833,72.905µm
_0428_,72.78µm
_0870_,72.54µm
_1400_,72.51µm
_0801_,72.2µm
_2032_,71.94µm
_1675_,71.71µm
ram_addr\[8\],71.17µm
_0383_,71.01µm
_1118_,70.95µm
_0826_,70.845µm
read_shift\[11\],70.6µm
net685,70.49µm
u_mac_4.temp_res\[16\],70.245µm
_0943_,70.23µm
u_input_buffer.mem\[23\]\[3\],70.22µm
_1635_,70.035µm
u_mac_1.temp_res\[5\],69.97µm
_0409_,69.73µm
u_mac_2.temp_res\[15\],69.685µm
u_mac_4.temp_res\[7\],69.49µm
_0976_,69.475µm
_2037_,69.36µm
net635,69.16µm
net785,69.13µm
net790,68.97µm
net661,68.865µm
_1933_,68.775µm
_2044_,68.58µm
_2549_,68.2µm
net655,67.95µm
net583,67.94µm
_0815_,67.875µm
_2376_,67.78µm
_1199_,67.77µm
net8,67.74µm
_0834_,67.605µm
u_mac_3.temp_res\[10\],66.92µm
u_input_buffer.mem\[27\]\[2\],66.845µm
net715,66.81µm
_0868_,66.655µm
_0392_,66.61µm
_2022_,66.55µm
net806,66.21µm
u_mac_3.temp_res\[7\],65.95µm
_0751_,65.41µm
net1142,65.05µm
_1365_,64.91µm
_0829_,64.86µm
net732,64.81µm
_0624_,64.8µm
read_shift\[8\],64.48µm
_0660_,64.39µm
_0996_,64.185µm
u_mac_4.temp_res\[11\],64.145µm
_1292_,64.11µm
u_mac_1.temp_res\[17\],64.09µm
_0386_,64.03µm
_2234_,63.89µm
_1208_,63.805µm
_0848_,63.765µm
_0952_,63.72µm
_1248_,63.61µm
_2459_,62.54µm
_2015_,62.4µm
_2057_,62.395µm
_0930_,62.385µm
_2374_,62µm
_0503_,61.995µm
ram_addr\[6\],61.71µm
net1126,61.385µm
net643,61.3µm
_0887_,61.21µm
_2413_,61.125µm
_0669_,60.835µm
ram_addr\[7\],60.81µm
net689,60.805µm
_2229_,60.66µm
_1260_,60.015µm
read_shift\[7\],59.54µm
net842,59.505µm
_2380_,59.475µm
net837,59.31µm
_2036_,59.215µm
_0009_,59.15µm
_0932_,59.04µm
_2053_,58.81µm
_0792_,58.75µm
_1399_,58.35µm
net850,57.88µm
_1575_,57.78µm
_2451_,57.68µm
read_shift\[5\],57.645µm
_0998_,57.61µm
read_shift\[12\],57.61µm
_2442_,57.54µm
u_mac_4.temp_res\[8\],57.24µm
_0398_,57.045µm
_1680_,56.89µm
_1977_,56.82µm
_2447_,55.94µm
_1106_,55.51µm
_2074_,55.36µm
u_mac_1.temp_res\[8\],55.33µm
_1782_,55.08µm
_1082_,54.78µm
_0678_,54.375µm
_0885_,54.27µm
net843,54.09µm
_1306_,53.98µm
ram_addr\[5\],53.92µm
_1751_,53.82µm
_0927_,53.74µm
_1015_,53.52µm
_2391_,53.43µm
ram_addr\[4\],53.42µm
_2025_,53.405µm
_1660_,53.4µm
_2223_,53.155µm
_1627_,52.965µm
_1561_,52.95µm
_0791_,52.93µm
_0950_,52.68µm
net796,52.545µm
u_mac_2.temp_res\[14\],52.535µm
net797,52.285µm
u_input_buffer.mem\[19\]\[4\],51.955µm
_1431_,51.66µm
net711,51.605µm
_1177_,51.405µm
_0947_,51.37µm
net1149,51.155µm
net794,51.15µm
_1765_,51.13µm
_2540_,51.12µm
_1049_,51.01µm
_2502_,50.94µm
read_shift\[10\],50.92µm
_0414_,50.88µm
_1261_,50.64µm
_1633_,50.54µm
net731,50.005µm
_1629_,49.68µm
_1682_,49.39µm
_1331_,49.375µm
_1653_,49.33µm
read_index\[4\],49.28µm
_2365_,49.245µm
u_mac_2.temp_res\[16\],49.09µm
_2226_,48.86µm
_2445_,48.85µm
_1964_,48.81µm
net718,48.745µm
_0824_,48.6µm
_0822_,48.485µm
_1202_,48.42µm
u_input_buffer.mem\[23\]\[2\],48.37µm
_2320_,48.2µm
u_input_buffer.mem\[24\]\[6\],48.195µm
net799,48.185µm
_0633_,48µm
_1637_,47.94µm
_2137_,47.85µm
_2073_,47.83µm
_2467_,47.83µm
_1763_,47.53µm
_0395_,47.23µm
_1477_,47.18µm
u_mac_2.temp_res\[2\],47.06µm
_2092_,46.98µm
_0411_,46.68µm
u_input_buffer.mem\[27\]\[1\],46.585µm
_0450_,46.285µm
_2258_,46.14µm
_1022_,46.1µm
_2444_,46.02µm
_0804_,45.98µm
_0393_,45.97µm
u_mac_3.temp_res\[2\],45.915µm
ram_addr\[3\],45.84µm
u_input_buffer.mem\[6\]\[6\],45.805µm
u_mac_3.temp_res\[15\],45.78µm
u_mac_3.temp_res\[8\],45.645µm
read_index\[3\],45.37µm
net1155,45.37µm
u_input_buffer.mem\[19\]\[2\],45.24µm
_0772_,44.965µm
net834,44.905µm
_1043_,44.865µm
u_mac_3.temp_res\[9\],44.76µm
_1066_,44.685µm
_1620_,44.65µm
_1274_,44.34µm
_0911_,44.29µm
_2059_,44.15µm
_1042_,43.83µm
_2448_,43.815µm
net840,43.75µm
u_mac_4.temp_res\[9\],43.7µm
net714,43.67µm
_1242_,43.09µm
_0845_,43.02µm
u_input_buffer.mem\[10\]\[4\],42.975µm
u_mac_3.temp_res\[12\],42.945µm
_2359_,42.62µm
_1402_,42.545µm
net846,42.27µm
read_shift\[15\],42.13µm
_1308_,42.06µm
net805,41.995µm
_1705_,41.81µm
read_index\[0\],41.625µm
_1950_,41.6µm
_0853_,41.53µm
_2461_,41.51µm
